ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-19,100965.26183244935,94785.12014343424,107431.99660704732,100965.26183244935,100965.26183244935,19.775389289734274,19.775389289734274,19.775389289734274,19.775389289734274,19.775389289734274,19.775389289734274,0.0,0.0,0.0,100985.03722173908
2025-05-20,101288.06686754923,95221.23789714342,107396.9342868651,101288.06686754923,101288.06686754923,40.404073085549406,40.404073085549406,40.404073085549406,40.404073085549406,40.404073085549406,40.404073085549406,0.0,0.0,0.0,101328.47094063478
2025-05-22,101933.67693774898,95922.42042391082,108190.39044952723,101933.67693774898,101933.67693774898,73.85501037422112,73.85501037422112,73.85501037422112,73.85501037422112,73.85501037422112,73.85501037422112,0.0,0.0,0.0,102007.5319481232
2025-05-23,102256.48197284888,96268.12456717233,108715.73057110875,102256.48197284888,102256.48197284888,76.3811944654647,76.3811944654647,76.3811944654647,76.3811944654647,76.3811944654647,76.3811944654647,0.0,0.0,0.0,102332.86316731434
2025-05-24,102579.28700794876,95876.14324179669,108283.83480127036,102579.28700794876,102579.28700794876,-448.26313588107024,-448.26313588107024,-448.26313588107024,-448.26313588107024,-448.26313588107024,-448.26313588107024,0.0,0.0,0.0,102131.02387206769
2025-05-25,102902.09204304864,96797.53836021786,108729.01854430085,102902.09204304864,102902.09204304864,-209.4248242640166,-209.4248242640166,-209.4248242640166,-209.4248242640166,-209.4248242640166,-209.4248242640166,0.0,0.0,0.0,102692.66721878463
2025-05-26,103125.17942680232,97259.2311151374,109388.01086894884,103125.17942680232,103125.17942680232,19.775389288927638,19.775389288927638,19.775389288927638,19.775389288927638,19.775389288927638,19.775389288927638,0.0,0.0,0.0,103144.95481609125
2025-05-27,103348.266810556,97405.38910740687,109518.66925412139,103348.266810556,103348.266810556,40.404073086427125,40.404073086427125,40.404073086427125,40.404073086427125,40.404073086427125,40.404073086427125,0.0,0.0,0.0,103388.67088364242
2025-05-28,103571.35419430968,97832.40991119217,109747.20872739956,103571.35419430968,103571.35419430968,447.2722929284429,447.2722929284429,447.2722929284429,447.2722929284429,447.2722929284429,447.2722929284429,0.0,0.0,0.0,104018.62648723813
2025-05-29,103794.44157806337,97593.65494003208,110432.58984027186,103794.44157806337,103794.44157806337,73.85501037406516,73.85501037406516,73.85501037406516,73.85501037406516,73.85501037406516,73.85501037406516,0.0,0.0,0.0,103868.29658843744
2025-05-30,104017.52896181704,98153.62267937463,110395.42584818118,104017.52896181704,104017.52896181704,76.38119446603723,76.38119446603723,76.38119446603723,76.38119446603723,76.38119446603723,76.38119446603723,0.0,0.0,0.0,104093.91015628308
2025-05-31,104240.61634557073,97685.91954332484,110229.4034715853,104240.61634557073,104240.61634557073,-448.2631358809055,-448.2631358809055,-448.2631358809055,-448.2631358809055,-448.2631358809055,-448.2631358809055,0.0,0.0,0.0,103792.35320968983
2025-06-01,104463.70372932442,97385.25926535405,110311.37160492233,104463.70372932442,104463.70372932442,-209.42482426289993,-209.42482426289993,-209.42482426289993,-209.42482426289993,-209.42482426289993,-209.42482426289993,0.0,0.0,0.0,104254.27890506152
2025-06-02,104686.7911130781,98198.9993670042,110999.70329642418,104686.7911130781,104686.7911130781,19.775389290591573,19.775389290591573,19.775389290591573,19.775389290591573,19.775389290591573,19.775389290591573,0.0,0.0,0.0,104706.56650236869
2025-06-03,104909.87849683179,98792.26114752537,111226.51958685242,104909.87849683179,104909.87849683179,40.40407308532786,40.40407308532786,40.40407308532786,40.40407308532786,40.40407308532786,40.40407308532786,0.0,0.0,0.0,104950.28256991712
